INFO - fast_ddpm_main.py - 2024-12-08 10:03:41,944 - Using device: cuda
INFO - distributed_c10d.py - 2024-12-08 10:03:43,808 - Added key: store_based_barrier_key:1 to store for rank: 0
INFO - distributed_c10d.py - 2024-12-08 10:03:43,808 - Rank 0: Completed store-based barrier for key:store_based_barrier_key:1 with 4 nodes.
INFO - fast_ddpm_main.py - 2024-12-08 10:03:43,808 - Writing log file to exp/logs/Fast-DDPM_experiments
INFO - fast_ddpm_main.py - 2024-12-08 10:03:43,808 - Exp instance id = 12815
INFO - fast_ddpm_main.py - 2024-12-08 10:03:43,808 - Exp comment = 
INFO - fast_ddpm_main.py - 2024-12-08 10:03:43,808 - Initialized distributed training: rank 0/4
INFO - diffusion.py - 2024-12-08 10:08:11,349 - step: 65, loss: 14611.8369140625
INFO - diffusion.py - 2024-12-08 10:08:13,401 - step: 66, loss: 2700.34130859375
INFO - diffusion.py - 2024-12-08 10:08:15,402 - step: 67, loss: 2663.01513671875
INFO - diffusion.py - 2024-12-08 10:08:17,298 - step: 68, loss: 14466.6982421875
INFO - diffusion.py - 2024-12-08 10:08:19,210 - step: 69, loss: 2577.0966796875
INFO - diffusion.py - 2024-12-08 10:08:21,126 - step: 70, loss: 14366.6416015625
INFO - diffusion.py - 2024-12-08 10:08:23,218 - step: 71, loss: 14831.9033203125
INFO - diffusion.py - 2024-12-08 10:08:25,230 - step: 72, loss: 1868.6536865234375
INFO - diffusion.py - 2024-12-08 10:08:27,298 - step: 73, loss: 3420.121337890625
INFO - diffusion.py - 2024-12-08 10:08:29,492 - step: 74, loss: 1854.26220703125
INFO - diffusion.py - 2024-12-08 10:08:31,440 - step: 75, loss: 2736.299560546875
INFO - diffusion.py - 2024-12-08 10:08:33,258 - step: 76, loss: 3636.691162109375
INFO - diffusion.py - 2024-12-08 10:08:35,377 - step: 77, loss: 2195.153564453125
INFO - diffusion.py - 2024-12-08 10:08:37,310 - step: 78, loss: 2449.96826171875
INFO - diffusion.py - 2024-12-08 10:08:39,693 - step: 79, loss: 14189.0341796875
INFO - diffusion.py - 2024-12-08 10:08:41,665 - step: 80, loss: 14322.2060546875
INFO - diffusion.py - 2024-12-08 10:08:43,530 - step: 81, loss: 2991.6923828125
INFO - diffusion.py - 2024-12-08 10:08:45,669 - step: 82, loss: 26045.46875
INFO - diffusion.py - 2024-12-08 10:08:47,811 - step: 83, loss: 26622.650390625
INFO - diffusion.py - 2024-12-08 10:08:49,814 - step: 84, loss: 1855.421630859375
INFO - diffusion.py - 2024-12-08 10:08:51,897 - step: 85, loss: 2859.888427734375
INFO - diffusion.py - 2024-12-08 10:08:53,825 - step: 86, loss: 14851.775390625
INFO - diffusion.py - 2024-12-08 10:08:55,797 - step: 87, loss: 26593.25
INFO - diffusion.py - 2024-12-08 10:08:57,802 - step: 88, loss: 2128.85986328125
INFO - diffusion.py - 2024-12-08 10:08:59,837 - step: 89, loss: 26386.431640625
INFO - diffusion.py - 2024-12-08 10:09:01,674 - step: 90, loss: 1755.047119140625
INFO - diffusion.py - 2024-12-08 10:09:03,601 - step: 91, loss: 26688.3125
INFO - diffusion.py - 2024-12-08 10:09:05,514 - step: 92, loss: 25951.55859375
INFO - diffusion.py - 2024-12-08 10:09:07,582 - step: 93, loss: 25810.234375
INFO - diffusion.py - 2024-12-08 10:09:09,685 - step: 94, loss: 14438.3359375
INFO - diffusion.py - 2024-12-08 10:09:11,630 - step: 95, loss: 2692.8408203125
INFO - diffusion.py - 2024-12-08 10:09:13,315 - step: 96, loss: 38760.65625
INFO - diffusion.py - 2024-12-08 10:09:15,293 - step: 97, loss: 2237.28857421875
INFO - diffusion.py - 2024-12-08 10:09:17,138 - step: 98, loss: 14271.939453125
INFO - diffusion.py - 2024-12-08 10:09:19,369 - step: 99, loss: 26634.0546875
INFO - diffusion.py - 2024-12-08 10:09:21,375 - step: 100, loss: 25984.509765625
INFO - diffusion.py - 2024-12-08 10:09:23,222 - step: 101, loss: 1643.41552734375
INFO - diffusion.py - 2024-12-08 10:09:25,310 - step: 102, loss: 25963.943359375
INFO - diffusion.py - 2024-12-08 10:09:27,330 - step: 103, loss: 13827.994140625
INFO - diffusion.py - 2024-12-08 10:09:29,506 - step: 104, loss: 1948.47265625
INFO - diffusion.py - 2024-12-08 10:09:31,510 - step: 105, loss: 2192.468017578125
INFO - diffusion.py - 2024-12-08 10:09:33,503 - step: 106, loss: 14570.3359375
INFO - diffusion.py - 2024-12-08 10:09:35,474 - step: 107, loss: 2138.5869140625
INFO - diffusion.py - 2024-12-08 10:09:37,801 - step: 108, loss: 2567.2470703125
INFO - diffusion.py - 2024-12-08 10:09:40,109 - step: 109, loss: 25709.55078125
INFO - diffusion.py - 2024-12-08 10:09:42,117 - step: 110, loss: 25554.99609375
INFO - diffusion.py - 2024-12-08 10:09:44,325 - step: 111, loss: 14526.4931640625
INFO - diffusion.py - 2024-12-08 10:09:46,377 - step: 112, loss: 2217.95703125
INFO - diffusion.py - 2024-12-08 10:09:48,313 - step: 113, loss: 1467.784423828125
INFO - diffusion.py - 2024-12-08 10:09:50,373 - step: 114, loss: 1563.54736328125
INFO - diffusion.py - 2024-12-08 10:09:52,409 - step: 115, loss: 14350.44140625
INFO - diffusion.py - 2024-12-08 10:09:54,486 - step: 116, loss: 14366.0166015625
INFO - diffusion.py - 2024-12-08 10:09:56,551 - step: 117, loss: 1878.796875
INFO - diffusion.py - 2024-12-08 10:09:58,738 - step: 118, loss: 1756.626708984375
INFO - diffusion.py - 2024-12-08 10:10:00,845 - step: 119, loss: 13655.990234375
INFO - diffusion.py - 2024-12-08 10:10:02,805 - step: 120, loss: 13566.09765625
INFO - diffusion.py - 2024-12-08 10:10:04,834 - step: 121, loss: 26010.99609375
INFO - diffusion.py - 2024-12-08 10:10:06,687 - step: 122, loss: 13585.5419921875
INFO - diffusion.py - 2024-12-08 10:10:08,982 - step: 123, loss: 2292.52294921875
INFO - diffusion.py - 2024-12-08 10:10:10,692 - step: 124, loss: 13885.162109375
INFO - diffusion.py - 2024-12-08 10:10:12,694 - step: 125, loss: 2540.4345703125
INFO - diffusion.py - 2024-12-08 10:10:14,797 - step: 126, loss: 25788.796875
INFO - diffusion.py - 2024-12-08 10:10:16,850 - step: 127, loss: 1406.1806640625
INFO - diffusion.py - 2024-12-08 10:10:18,950 - step: 128, loss: 1945.3013916015625
INFO - diffusion.py - 2024-12-08 10:10:20,966 - step: 129, loss: 25946.134765625
INFO - diffusion.py - 2024-12-08 10:10:22,943 - step: 130, loss: 13960.0859375
INFO - diffusion.py - 2024-12-08 10:10:25,006 - step: 131, loss: 2388.828369140625
INFO - diffusion.py - 2024-12-08 10:10:26,989 - step: 132, loss: 2038.242431640625
INFO - diffusion.py - 2024-12-08 10:10:29,121 - step: 133, loss: 13848.3623046875
INFO - diffusion.py - 2024-12-08 10:10:31,066 - step: 134, loss: 13689.76953125
